Username,Test Case,Date,Key,Timestamp
INFIX Calculator V.1,a,2025-08-02,1,2025-08-02T03:50:54.704Z
INFIX Calculator V.1,a,2025-08-02,3,2025-08-02T03:50:55.014Z
INFIX Calculator V.1,a,2025-08-02,5,2025-08-02T03:50:55.344Z
INFIX Calculator V.1,a,2025-08-02,-,2025-08-02T03:50:56.430Z
INFIX Calculator V.1,a,2025-08-02,1,2025-08-02T03:50:58.417Z
INFIX Calculator V.1,a,2025-08-02,1,2025-08-02T03:50:58.584Z
INFIX Calculator V.1,a,2025-08-02,7,2025-08-02T03:50:58.958Z
INFIX Calculator V.1,a,2025-08-02,=,2025-08-02T03:50:59.600Z
INFIX Calculator V.1,a,2025-08-02,x,2025-08-02T03:50:59.600Z
INFIX Calculator V.1,a,2025-08-02,0,2025-08-02T03:51:04.262Z
INFIX Calculator V.1,a,2025-08-02,.,2025-08-02T03:51:04.542Z
INFIX Calculator V.1,a,2025-08-02,0,2025-08-02T03:51:04.841Z
INFIX Calculator V.1,a,2025-08-02,9,2025-08-02T03:51:06.952Z
INFIX Calculator V.1,a,2025-08-02,=,2025-08-02T03:51:08.034Z
