Username,Test Case,Date,Key,Timestamp
INFIX Calculator V.1,a,2025-08-02,5,2025-08-02T03:48:09.861Z
INFIX Calculator V.1,a,2025-08-02,7,2025-08-02T03:48:10.132Z
INFIX Calculator V.1,a,2025-08-02,x,2025-08-02T03:48:10.623Z
INFIX Calculator V.1,a,2025-08-02,1,2025-08-02T03:48:11.091Z
INFIX Calculator V.1,a,2025-08-02,3,2025-08-02T03:48:11.398Z
INFIX Calculator V.1,a,2025-08-02,=,2025-08-02T03:48:11.700Z
INFIX Calculator V.1,a,2025-08-02,-,2025-08-02T03:48:11.700Z
INFIX Calculator V.1,a,2025-08-02,1,2025-08-02T03:48:16.451Z
INFIX Calculator V.1,a,2025-08-02,6,2025-08-02T03:48:16.831Z
INFIX Calculator V.1,a,2025-08-02,1,2025-08-02T03:48:17.133Z
INFIX Calculator V.1,a,2025-08-02,=,2025-08-02T03:48:17.628Z
INFIX Calculator V.1,a,2025-08-02,/,2025-08-02T03:48:17.628Z
INFIX Calculator V.1,a,2025-08-02,7,2025-08-02T03:48:18.396Z
INFIX Calculator V.1,a,2025-08-02,=,2025-08-02T03:48:19.452Z
